class_id;yr;min_rank_I;min_rank_II;max_rank_I;max_rank_II
22133501;2017;421.00;415.00;486.25;486.25
22133502;2017;410.50;406.50;491.00;491.00
22054071;2017;215.50;207.00;301.50;301.50
22054072;2017;257.25;250.25;371.75;371.75
22054073;2017;274.75;268.25;346.50;346.50
22054074;2017;293.75;281.00;370.50;370.50
22054075;2017;353.75;345.50;421.00;421.00
22054076;2017;224.75;220.50;369.50;369.50
22054077;2017;313.00;306.50;410.75;410.75
22234311;2017;163.25;158.00;305.50;305.50
22234312;2017;131.00;108.50;228.50;228.50
22234313;2017;196.75;163.50;346.00;346.00
22234314;2017;195.00;163.25;392.25;392.25
22234315;2017;272.00;259.00;412.25;412.25
22234316;2017;125.00;107.50;270.50;270.50
22234317;2017;227.00;167.00;458.25;458.25
22064101;2017;146.50;119.50;328.50;328.50
22064102;2017;190.50;169.75;303.50;303.50
22064103;2017;171.00;115.25;267.50;267.50
22064104;2017;208.00;199.00;368.50;368.50
22064105;2017;128.50;101.00;253.25;253.25
22174241;2017;141.50;116.00;274.25;274.25
22174242;2017;131.50;128.00;361.00;361.00
22174243;2017;227.25;195.50;415.00;415.00
22174244;2017;101.50;101.50;223.00;223.00
22131281;2017;195.50;188.00;378.00;378.00
22130391;2017;106.00;100.00;251.50;251.50
22133501;2018;424.75;423.00;471.50;443.00
22133502;2018;419.00;416.25;448.75;426.25
22054071;2018;278.50;262.50;365.25;358.75
22054072;2018;309.75;277.00;385.00;319.00
22054073;2018;321.25;312.25;399.00;399.00
22054074;2018;340.50;320.75;410.50;407.00
22054075;2018;389.00;384.50;417.75;414.00
22054076;2018;377.00;366.25;460.25;418.25
22234311;2018;195.00;187.25;403.25;233.00
22234312;2018;163.50;154.00;285.50;216.50
22234313;2018;233.75;219.50;363.75;237.25
22234314;2018;274.75;243.50;414.50;414.50
22234315;2018;322.75;309.00;404.75;391.00
22234316;2018;160.00;143.00;347.00;302.75
22234317;2018;274.00;261.00;371.75;371.75
22064101;2018;272.25;243.50;385.75;352.50
22064102;2018;233.50;214.25;386.00;362.50
22064103;2018;170.00;150.50;272.75;245.50
22064104;2018;150.50;135.50;281.00;281.00
22064105;2018;219.50;213.50;296.25;296.25
22064106;2018;186.50;174.25;366.00;366.00
22174241;2018;115.00;176.75;310.75;258.25
22174242;2018;69.00;180.50;257.25;180.50
22174243;2018;198.75;126.50;421.50;331.00
22174245;2018;87.00;138.00;285.50;285.50
22051193;2018;275.75;260.00;384.75;342.50
22131281;2018;227.00;213.50;388.00;280.00
22130391;2018;30.00;106.00;363.00;281.25
22133501;2019;447.50;443.50;495.00;473.50
22133502;2019;440.50;438.50;463.00;443.00
22054071;2019;301.75;290.75;379.50;336.50
22054072;2019;325.25;312.75;373.50;373.50
22054073;2019;346.00;333.25;440.00;395.50
22054074;2019;369.25;363.75;433.00;433.00
22054075;2019;419.25;414.50;442.50;435.50
22054076;2019;401.75;395.50;440.00;438.50
22234311;2019;239.50;226.00;338.00;317.00
22234312;2019;199.75;181.75;271.25;227.75
22234313;2019;289.75;268.50;389.75;361.25
22234314;2019;272.00;261.75;333.75;317.25
22234315;2019;346.00;341.75;446.25;438.25
22234316;2019;306.75;301.25;366.50;334.75
22234317;2019;208.25;189.25;395.00;277.50
22064101;2019;266.25;260.50;405.50;380.50
22064102;2019;250.50;232.25;384.25;360.50
22064103;2019;181.00;174.25;249.50;189.00
22064104;2019;170.00;154.50;289.50;216.00
22064105;2019;221.50;201.50;315.50;280.25
22064106;2019;197.00;182.50;339.00;247.00
22174241;2019;94.00;186.50;312.50;312.50
22174242;2019;115.00;113.00;257.00;230.50
22174243;2019;192.00;113.00;413.00;293.50
22174244;2019;148.00;114.00;351.50;277.00
22051193;2019;298.25;287.00;427.00;388.75
22131281;2019;249.00;227.00;319.00;313.50
22130391;2019;108.50;69.00;307.25;190.00
22133501;2020;461.25;498.5;456.75;482.5
22133502;2020;448.5;485.75;444.75;455.5
22054071;2020;332.0;397.5;327.0;376.5
22054072;2020;354.0;418.0;342.0;388.5
22054073;2020;368.5;432.5;359.25;432.5
22054074;2020;386.5;469.25;384.5;439.75
22054075;2020;430.75;453.5;426.5;449.5
22054076;2020;421.5;459.75;416.75;440.0
22234311;2020;269.75;335.75;254.50;316.75
22234312;2020;220.0;304.0;204.0;304.0
22234313;2020;364.0;423.25;353.0;423.25
22234314;2020;337.5;404.25;330.25;404.25
22234315;2020;316.75;443.0;310.0;443.0
22234316;2020;299.0;359.5;292.25;322.75
22234317;2020;241.5;329.25;233.0;300.75
22064101;2020;198.5;264.5;181.75;264.5
22064102;2020;249.75;366.5;240.75;319.75
22064103;2020;235.25;287.25;230.5;265.0
22064104;2020;284.0;393.75;282.0;393.75
22064105;2020;288.5;417.75;287.0;360.25
22064106;2020;210.5;284.0;178.0;278.75
22174241;2020;102.5;371.0;163.25;338.0
22174242;2020;172.75;294.0;110.0;294.0
22174243;2020;134.0;365.75;118.0;365.75
22174244;2020;30.0;387.75;122.75;387.75
22131281;2020;282.5;393.0;254.0;393.0
22130391;2020;156.75;389.25;145.25;235.5
